title,price,link_item,index_,discount_idx,discount_percent_list,countReviews,type,category,official_idx,official
Sách - Tam Thể (Tập 2) - Khu Rừng Đen Tối,180.000 ₫,https://www.lazada.vn/products/sach-tam-the-tap-2-khu-rung-den-toi-i1497789023.html,40,40,20% Off,"33 Đã bán
(5)
Hà Nội",lazada,book,40,Official
Bộ sách tiếng Trung luyện nhớ 4000 từ vựng và ví dụ cho người mới học ( gồm 3 cuốn),299.000 ₫,https://www.lazada.vn/products/bo-sach-tieng-trung-luyen-nho-4000-tu-vung-va-vi-du-cho-nguoi-moi-hoc-gom-3-cuon-i2478054116.html,1,1,25% Off,"18 Đã bán
(3)
Hà Nội",lazada,book,1,
Blue Period - Tập lẻ 1 2 3 4 5 6 7 8 9 10 11 (Tặng Kèm Bookmark + Card + Móc khóa) - Tntmanga,49.000 ₫,https://www.lazada.vn/products/blue-period-tap-le-1-2-3-4-5-6-7-8-9-10-11-tang-kem-bookmark-card-moc-khoa-tntmanga-i2276858470.html,2,2,6% Off,"7 Đã bán
(3)
Đồng Nai",lazada,book,2,
Sách - Nhật ký Đặng Thị Thùy Trâm (TB 2022) (Nhã Nam HCM),73.800 ₫,https://www.lazada.vn/products/sach-nhat-ky-dang-thi-thuy-tram-tb-2022-nha-nam-hcm-i1927743558.html,3,3,18% Off,"92 Đã bán
(24)
Hồ Chí Minh",lazada,book,3,Official
Sách - Con người và biểu tượng - Man and his symbols (Nhã Nam HCM),369.000 ₫,https://www.lazada.vn/products/sach-con-nguoi-va-bieu-tuong-man-and-his-symbols-nha-nam-hcm-i2126965998.html,4,4,18% Off,"90 Đã bán
(22)
Hồ Chí Minh",lazada,book,4,Official
Sách - Người Đài Bắc (Bạch Tiên Dũng) (Bìa cứng) - Nhã Nam,143.200 ₫,https://www.lazada.vn/products/sach-nguoi-dai-bac-bach-tien-dung-bia-cung-nha-nam-i2439583205.html,5,5,20% Off,"5 Đã bán
(1)
Hà Nội",lazada,book,5,Official
Ghi Chép Pháp Y - Những Cái Chết Bí Ẩn ( AZ ),100.000 ₫,https://www.lazada.vn/products/ghi-chep-phap-y-nhung-cai-chet-bi-an-az-i2468881408.html,6,6,20% Off,Hồ Chí Minh,lazada,book,6,Official
Sách - Hơi Thở Chữa Lành Thân Tâm - Richie Bostock,111.000 ₫,https://www.lazada.vn/products/sach-hoi-tho-chua-lanh-than-tam-richie-bostock-i2520197608.html,7,7,30% Off,"(1)
Hồ Chí Minh",lazada,book,7,
Sách - Ma Y Thần Tướng (QB) - Newshop,279.650 ₫,https://www.lazada.vn/products/sach-ma-y-than-tuong-qb-newshop-i1430669908.html,8,8,15% Off,"17 Đã bán
(5)
Hồ Chí Minh",lazada,book,8,Official
"Sách - Ăn chay healthy không lo thiếu chất – 7 ngày ăn xanh nâng cao sức khoẻ, dồi dào năng lượng - Thaihabooks",136.040 ₫,https://www.lazada.vn/products/sach-an-chay-healthy-khong-lo-thieu-chat-7-ngay-an-xanh-nang-cao-suc-khoe-doi-dao-nang-luong-thaihabooks-i2398404204.html,9,9,24% Off,"21 Đã bán
(4)
Hồ Chí Minh",lazada,book,9,Official
Sách - Những Mẩu Vụn Triết Học,147.000 ₫,https://www.lazada.vn/products/sach-nhung-mau-vun-triet-hoc-i2603536753.html,10,10,13% Off,Hồ Chí Minh,lazada,book,10,
Danh tác văn học Việt Nam - Tuyển tập Nam Cao bìa 135 (tái bản 2020),94.500 ₫,https://www.lazada.vn/products/danh-tac-van-hoc-viet-nam-tuyen-tap-nam-cao-bia-135-tai-ban-2020-i1584606774.html,11,11,30% Off,"10 Đã bán
(3)
Hà Nội",lazada,book,11,
Combo sách - Tiếng Hàn tổng hợp trung cấp 4 (Giáo trình + SBT) – đen trắng (phiên bản mới),184.000 ₫,https://www.lazada.vn/products/combo-sach-tieng-han-tong-hop-trung-cap-4-giao-trinh-sbt-den-trang-phien-ban-moi-i1236621227.html,12,12,30% Off,"(1)
Hà Nội",lazada,book,12,
Sách - Lũ trẻ hư nhất quả đất - Tập 2 (Bìa cứng) - Nhã Nam HCM,151.700 ₫,https://www.lazada.vn/products/sach-lu-tre-hu-nhat-qua-dat-tap-2-bia-cung-nha-nam-hcm-i1450783720.html,13,13,18% Off,"43 Đã bán
(8)
Hồ Chí Minh",lazada,book,13,Official
Sách - Siêu án mạng: Nỗi ưu phiền của các nhà văn trinh thám (Nhã Nam HCM),106.600 ₫,https://www.lazada.vn/products/sach-sieu-an-mang-noi-uu-phien-cua-cac-nha-van-trinh-tham-nha-nam-hcm-i2644942579.html,14,14,18% Off,"(1)
Hồ Chí Minh",lazada,book,14,Official
Sách - Giáo Khoa Căn Bản Môn Dịch Anh - Việt Việt - Anh - Trương Quang Phú,86.000 ₫,https://www.lazada.vn/products/sach-giao-khoa-can-ban-mon-dich-anh-viet-viet-anh-truong-quang-phu-i1220263044.html,15,15,,"12 Đã bán
(1)
Hồ Chí Minh",lazada,book,15,
Tranh Truyện Dân Gian Việt Nam - Mụ Lường (Tái Bản 2018),15.000 ₫,https://www.lazada.vn/products/tranh-truyen-dan-gian-viet-nam-mu-luong-tai-ban-2018-i225371659.html,16,16,,Hồ Chí Minh,lazada,book,16,Official
Sách - Đã Nhiều Năm Như Thế (Tập 2 - Bản Thường),140.000 ₫,https://www.lazada.vn/products/sach-da-nhieu-nam-nhu-the-tap-2-ban-thuong-i2451434488.html,17,17,15% Off,"(1)
Hà Nội",lazada,book,17,Official
Danh Tác Văn Học Việt Nam - Thi Nhân Việt Nam,55.000 ₫,https://www.lazada.vn/products/danh-tac-van-hoc-viet-nam-thi-nhan-viet-nam-i2128404764.html,18,18,,"19 Đã bán
(8)
Hà Nội",lazada,book,18,
Sách - Đại Việt Sử Ký Toàn Thư (Tái Bản 2020) - Mhbooks tặng sổ tay,265.000 ₫,https://www.lazada.vn/products/sach-dai-viet-su-ky-toan-thu-tai-ban-2020-mhbooks-tang-so-tay-i1211340646.html,19,19,,"87 Đã bán
(20)
Hà Nội",lazada,book,19,
Sách - Sự Thinh Lặng (Trinh Thám),45.000 ₫,https://www.lazada.vn/products/sach-su-thinh-lang-trinh-tham-i1434145561.html,20,20,49% Off,"19 Đã bán
(10)
Hà Nội",lazada,book,20,
Người Gác Đêm (Tái Bản),165.000 ₫,https://www.lazada.vn/products/nguoi-gac-dem-tai-ban-i1690653333.html,21,21,,Hà Nội,lazada,book,21,
"Chuyện Hà Nội, Khảo cứu về Hà Thành xưa và nay",64.500 ₫,https://www.lazada.vn/products/chuyen-ha-noi-khao-cuu-ve-ha-thanh-xua-va-nay-i1847302911.html,22,22,25% Off,Hà Nội,lazada,book,22,Official
Sách NXB Trẻ - Rebecca Yarros. Cánh Tư (Fourth Wing),252.000 ₫,https://www.lazada.vn/products/sach-nxb-tre-rebecca-yarros-canh-tu-fourth-wing-i2598494245.html,23,23,20% Off,"9 Đã bán
(2)
Đà Nẵng",lazada,book,23,
Sách - Raw Vegan – Sức Mạnh Chữa Lành Của Thực Vật,67.160 ₫,https://www.lazada.vn/products/sach-raw-vegan-suc-manh-chua-lanh-cua-thuc-vat-i1244924242.html,24,24,27% Off,"41 Đã bán
(7)
Hà Nội",lazada,book,24,Official
Sách - Sống như một cái cây - Tác giả Osamu Tanaka,59.000 ₫,https://www.lazada.vn/products/sach-song-nhu-mot-cai-cay-tac-gia-osamu-tanaka-i1766348957.html,25,25,9% Off,Hà Nội,lazada,book,25,
"Sách: Hà Nội 36 Phố Phường, Thạch Lam (TB)",50.000 ₫,https://www.lazada.vn/products/sach-ha-noi-36-pho-phuong-thach-lam-tb-i105864662.html,26,26,,"15 Đã bán
(3)
Hà Nội",lazada,book,26,Official
Ôn nhu cũng là quyến rũ,47.000 ₫,https://www.lazada.vn/products/on-nhu-cung-la-quyen-ru-i2590580208.html,27,27,47% Off,"(1)
Hà Nội",lazada,book,27,
trọn bộ 3 tập Muôn kiếp nhân sinh màu ( Bản to)tặng kèm MacBook,148.000 ₫,https://www.lazada.vn/products/tron-bo-3-tap-muon-kiep-nhan-sinh-mau-ban-totang-kem-macbook-i2169858227.html,28,28,50% Off,"757 Đã bán
(151)
Hà Nội",lazada,book,28,
Sách - Khu vườn bí mật (TB 2019) (Nhã Nam HCM),78.720 ₫,https://www.lazada.vn/products/sach-khu-vuon-bi-mat-tb-2019-nha-nam-hcm-i1735114949.html,29,29,18% Off,"151 Đã bán
(39)
Hồ Chí Minh",lazada,book,29,Official
Sách - Thả Một Bè Lau - Thích Nhất Hạnh,89.500 ₫,https://www.lazada.vn/products/sach-tha-mot-be-lau-thich-nhat-hanh-i2585174330.html,30,30,50% Off,"5 Đã bán
Hà Nội",lazada,book,30,
"Bộ Sách Một Tách Trà Thiền ( Thiền Là Một Nhành Hoa + Thiền Là Một Tách Trà, Tặng Kèm Nụ Cười Giác Ngộ ) - Á Châu Books, Bìa Mềm In Màu",299.000 ₫,https://www.lazada.vn/products/bo-sach-mot-tach-tra-thien-thien-la-mot-nhanh-hoa-thien-la-mot-tach-tra-tang-kem-nu-cuoi-giac-ngo-a-chau-books-bia-mem-in-mau-i1914844524.html,31,31,34% Off,"49 Đã bán
(17)
Hà Nội",lazada,book,31,Official
Sách Hạt Giống Tâm Hồn - Trọn Bộ 16 Tập,220.000 ₫,https://www.lazada.vn/products/sach-hat-giong-tam-hon-tron-bo-16-tap-i2415430347.html,32,32,,"51 Đã bán
(14)
Hà Nội",lazada,book,32,
Sách - Cây Cam Ngọt Của Tôi,83.160 ₫,https://www.lazada.vn/products/sach-cay-cam-ngot-cua-toi-i2289885568.html,33,33,23% Off,"21 Đã bán
(6)
Hồ Chí Minh",lazada,book,33,Official
Sách - Mã gien tội ác (Nhã Nam HCM,220.580 ₫,https://www.lazada.vn/products/sach-ma-gien-toi-ac-nha-nam-hcm-i2553004468.html,34,34,18% Off,Hồ Chí Minh,lazada,book,34,Official
Chuyện nhỏ trong thế giới lớn - EHGombrich,55.000 ₫,https://www.lazada.vn/products/chuyen-nho-trong-the-gioi-lon-ehgombrich-i2541802714.html,35,35,50% Off,"9 Đã bán
(5)
Hà Nội",lazada,book,35,
Sách - Như Sao Trời Ôm Lấy Đại Dương,69.000 ₫,https://www.lazada.vn/products/sach-nhu-sao-troi-om-lay-dai-duong-i2407952352.html,36,36,20% Off,"38 Đã bán
(10)
Hà Nội",lazada,book,36,Official
Sách - Ám Ảnh Đen (Trinh Thám),59.000 ₫,https://www.lazada.vn/products/sach-am-anh-den-trinh-tham-i1434226025.html,37,37,40% Off,"59 Đã bán
(35)
Hà Nội",lazada,book,37,
Sách - Ai Rồi Cũng Sẽ Bình Yên,49.000 ₫,https://www.lazada.vn/products/sach-ai-roi-cung-se-binh-yen-i2546604307.html,38,38,50% Off,"16 Đã bán
(6)
Hà Nội",lazada,book,38,
Sách - Lạc Giữa Tần Số Không Người Nghe (AZ) - Newshop,72.240 ₫,https://www.lazada.vn/products/sach-lac-giua-tan-so-khong-nguoi-nghe-az-newshop-i2392515412.html,39,39,16% Off,"17 Đã bán
(2)
Hồ Chí Minh",lazada,book,39,Official
Sách - Những chiếc ghế trong căn bếp nhỏ (Nhã Nam HCM),113.160 ₫,https://www.lazada.vn/products/sach-nhung-chiec-ghe-trong-can-bep-nho-nha-nam-hcm-i1736610507.html,40,40,18% Off,Hồ Chí Minh,lazada,book,40,Official
